Year,Round,Game Number,Home Team,Away Team,Home Score,Away Score,url,attendance,arena,time,game_id
2019,1.0,4.0,Los Angeles Clippers,Golden State Warriors,105,113,https://www.basketball-reference.com/boxscores/201904210LAC.html,"19,068",STAPLES Center,3:30p,16023
2019,1.0,4.0,Orlando Magic,Toronto Raptors,85,107,https://www.basketball-reference.com/boxscores/201904210ORL.html,"19,087",Amway Center,7:00p,16024
2019,1.0,4.0,Oklahoma City Thunder,Portland Trail Blazers,98,111,https://www.basketball-reference.com/boxscores/201904210OKC.html,"18,203",Chesapeake Energy Arena,9:30p,16025
2019,1.0,4.0,Detroit Pistons,Milwaukee Bucks,104,127,https://www.basketball-reference.com/boxscores/201904220DET.html,"20,332",Little Caesars Arena,8:00p,16026
2019,1.0,4.0,Utah Jazz,Houston Rockets,107,91,https://www.basketball-reference.com/boxscores/201904220UTA.html,"18,306",Vivint Smart Home Arena,10:30p,16027
2019,1.0,5.0,Toronto Raptors,Orlando Magic,115,96,https://www.basketball-reference.com/boxscores/201904230TOR.html,"19,800",Scotiabank Arena,7:00p,16028
2019,1.0,5.0,Philadelphia 76ers,Brooklyn Nets,122,100,https://www.basketball-reference.com/boxscores/201904230PHI.html,"20,595",Wells Fargo Center,8:00p,16029
2019,1.0,5.0,Denver Nuggets,San Antonio Spurs,108,90,https://www.basketball-reference.com/boxscores/201904230DEN.html,"19,520",Pepsi Center,9:30p,16030
2019,1.0,5.0,Portland Trail Blazers,Oklahoma City Thunder,118,115,https://www.basketball-reference.com/boxscores/201904230POR.html,"20,241",Moda Center,10:30p,16031
2019,1.0,5.0,Houston Rockets,Utah Jazz,100,93,https://www.basketball-reference.com/boxscores/201904240HOU.html,"18,055",Toyota Center,8:00p,16032
2019,1.0,5.0,Golden State Warriors,Los Angeles Clippers,121,129,https://www.basketball-reference.com/boxscores/201904240GSW.html,"19,596",Oracle Arena,10:30p,16033
2019,1.0,6.0,San Antonio Spurs,Denver Nuggets,120,103,https://www.basketball-reference.com/boxscores/201904250SAS.html,"18,354",AT&T Center,8:00p,16034
2019,1.0,6.0,Los Angeles Clippers,Golden State Warriors,110,129,https://www.basketball-reference.com/boxscores/201904260LAC.html,"19,068",STAPLES Center,10:00p,16035
2019,2.0,1.0,Toronto Raptors,Philadelphia 76ers,108,95,https://www.basketball-reference.com/boxscores/201904270TOR.html,"19,800",Scotiabank Arena,7:30p,16036
2019,1.0,7.0,Denver Nuggets,San Antonio Spurs,90,86,https://www.basketball-reference.com/boxscores/201904270DEN.html,"19,725",Pepsi Center,10:00p,16037
2019,2.0,1.0,Milwaukee Bucks,Boston Celtics,90,112,https://www.basketball-reference.com/boxscores/201904280MIL.html,"17,561",Fiserv Forum,1:00p,16038
2019,2.0,1.0,Golden State Warriors,Houston Rockets,104,100,https://www.basketball-reference.com/boxscores/201904280GSW.html,"19,596",Oracle Arena,3:30p,16039
2019,2.0,2.0,Toronto Raptors,Philadelphia 76ers,89,94,https://www.basketball-reference.com/boxscores/201904290TOR.html,"19,800",Scotiabank Arena,8:00p,16040
2019,2.0,1.0,Denver Nuggets,Portland Trail Blazers,121,113,https://www.basketball-reference.com/boxscores/201904290DEN.html,"19,520",Pepsi Center,10:30p,16041
2019,2.0,2.0,Milwaukee Bucks,Boston Celtics,123,102,https://www.basketball-reference.com/boxscores/201904300MIL.html,"17,536",Fiserv Forum,8:00p,16042
2019,2.0,2.0,Golden State Warriors,Houston Rockets,115,109,https://www.basketball-reference.com/boxscores/201904300GSW.html,"19,596",Oracle Arena,10:30p,16043
