player_id,game_id,points,rebounds,assists,2pm,2pa,3pm,3pa,FTM,FTA,FGM depth,FGA depth,FGM,FGA,offensive rebounds,defensive rebounds,fouls,fouls drawn,turnovers,steals,blocks
bullore01,10804,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0
quickim01,10804,4,0,0,2,2,0,0,0,0,3.0,3.0,2,2,0,0,1,0,1,0,0
okorois01,10804,2,0,0,0,0,0,0,2,2,0.0,0.0,0,0,0,0,0,1,0,0,0
doncilu01,10805,6,3,1,3,4,0,1,0,0,4.666666666666667,13.6,3,5,0,3,1,0,0,0,0
holidjr01,10805,0,0,0,0,1,0,1,0,0,0.0,15.5,0,2,0,0,0,0,0,0,0
caulewi01,10805,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0
johnsja01,10805,3,0,0,0,0,1,1,0,0,23.0,23.0,1,1,0,0,0,0,0,0,0
middlkh01,10805,5,0,0,0,0,1,1,2,2,26.0,26.0,1,1,0,0,0,1,0,0,0
porzikr01,10805,0,0,0,0,0,0,1,0,0,0.0,29.0,0,1,0,0,0,0,0,0,0
lopezbr01,10805,1,1,0,0,1,0,0,1,2,0.0,5.0,0,1,0,1,0,1,0,0,0
burketr01,10805,0,0,0,0,0,0,1,0,0,0.0,29.0,0,1,0,0,1,0,0,0,0
divindo01,10805,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
marjabo01,10805,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
greenjo02,10805,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
hardati02,10805,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
iwundwe01,10805,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
Team,10805,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
gilgesh01,10806,5,1,3,2,3,0,1,1,1,4.0,9.25,2,4,0,1,0,1,1,0,0
lavinza01,10806,3,0,0,0,0,1,3,0,0,24.0,24.666666666666668,1,3,0,0,1,0,1,0,0
dortlu01,10806,0,1,0,0,0,0,1,0,0,0.0,26.0,0,1,0,1,0,1,0,1,0
Team,10806,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,4,0,0,0,1,0,0
willike04,10806,4,0,0,2,2,0,0,0,0,3.5,3.5,2,2,0,0,0,2,0,0,0
whiteco01,10806,3,0,0,0,0,1,2,0,0,25.0,24.0,1,2,0,0,4,1,2,0,0
porteot01,10806,0,1,1,0,0,0,1,0,0,0.0,26.0,0,1,0,1,0,0,0,0,0
templga01,10806,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
markkla01,10806,0,1,0,0,0,0,1,0,0,0.0,26.0,0,1,0,1,1,0,1,1,0
bazleda01,10806,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
muscami01,10806,6,1,0,0,0,2,3,0,0,26.0,26.0,2,3,0,1,0,1,0,0,0
cartewe01,10806,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
hillge01,10806,1,0,0,0,0,0,0,1,2,0.0,0.0,0,0,0,0,1,1,0,0,0
valende01,10806,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
hardeja01,10811,0,2,0,0,2,0,0,0,0,0.0,6.0,0,2,1,1,0,1,1,0,0
vucevni01,10811,3,0,0,0,0,1,1,0,0,25.0,25.0,1,1,0,0,2,0,0,0,0
rosste01,10811,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
duranke01,10811,0,0,0,0,1,0,0,0,0,0.0,16.0,0,1,0,0,0,1,0,0,0
clarkga01,10811,1,1,0,0,0,0,0,1,1,0.0,0.0,0,0,0,1,0,0,0,0,0
anthoco01,10811,0,0,0,0,1,0,0,0,0,0.0,16.0,0,1,0,0,0,0,0,0,1
Team,10811,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
gordoaa01,10811,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
bacondw01,10811,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
luwawti01,10811,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
