lineup_id,player_1,player_2,player_3,player_4,player_5
262,brownja02,holidjr01,horfoal01,pritcpa01,whitede01
263,brownja02,holidjr01,horfoal01,pritcpa01,tatumja01
264,hausesa01,holidjr01,horfoal01,pritcpa01,tatumja01
265,adebaba01,highsha01,jaqueja01,robindu01,wrighde01
266,adebaba01,highsha01,jaqueja01,martica02,wrighde01
267,adebaba01,highsha01,jaqueja01,loveke01,wrighde01
268,brownja02,hausesa01,horfoal01,pritcpa01,tatumja01
269,brownja02,hausesa01,horfoal01,tatumja01,whitede01
270,adebaba01,adebaba01,jaqueja01,loveke01,wrighde01
271,adebaba01,adebaba01,jovicni01,loveke01,wrighde01
272,adebaba01,adebaba01,jovicni01,martica02,wrighde01
273,brownja02,hausesa01,porzikr01,tatumja01,whitede01
274,brownja02,holidjr01,horfoal01,tatumja01,whitede01
275,brownja02,horfoal01,horfoal01,pritcpa01,whitede01
276,adebaba01,jaqueja01,jovicni01,martica02,wrighde01
277,hausesa01,horfoal01,horfoal01,pritcpa01,whitede01
278,hausesa01,horfoal01,horfoal01,pritcpa01,tatumja01
279,adebaba01,adebaba01,jaqueja01,martica02,wrighde01
280,adebaba01,adebaba01,jaqueja01,wrighde01,wrighde01
281,brownja02,horfoal01,horfoal01,pritcpa01,tatumja01
282,brownja02,horfoal01,horfoal01,tatumja01,whitede01
283,brownja02,horfoal01,pritcpa01,tatumja01,whitede01
284,georgpa01,hardeja01,leonaka01,mannte01,zubaciv01
285,georgpa01,hardeja01,leonaka01,mannte01,plumlma01
286,doncilu01,irvinky01,jonesde02,livelde01,washipj01
287,doncilu01,irvinky01,jonesde02,klebima01,livelde01
288,doncilu01,exumda01,greenjo02,klebima01,livelde01
289,georgpa01,hardeja01,mannte01,plumlma01,powelno01
290,doncilu01,exumda01,greenjo02,jonesde02,klebima01
291,coffeam01,georgpa01,plumlma01,powelno01,westbru01
292,exumda01,greenjo02,irvinky01,jonesde02,klebima01
293,coffeam01,georgpa01,leonaka01,powelno01,westbru01
294,coffeam01,georgpa01,hardeja01,leonaka01,powelno01
295,georgpa01,georgpa01,hardeja01,leonaka01,powelno01
296,georgpa01,georgpa01,hardeja01,leonaka01,mannte01
297,doncilu01,greenjo02,irvinky01,jonesde02,klebima01
298,georgpa01,georgpa01,hardeja01,mannte01,powelno01
299,georgpa01,hardeja01,leonaka01,mannte01,powelno01
300,georgpa01,hardeja01,leonaka01,powelno01,westbru01
301,doncilu01,greenjo02,greenjo02,irvinky01,washipj01
302,georgpa01,hardeja01,powelno01,powelno01,westbru01
303,doncilu01,greenjo02,greenjo02,irvinky01,jonesde02
304,exumda01,greenjo02,greenjo02,irvinky01,jonesde02
305,coffeam01,georgpa01,powelno01,powelno01,westbru01
306,doncilu01,greenjo02,greenjo02,jonesde02,livelde01
307,doncilu01,greenjo02,greenjo02,livelde01,washipj01
308,coffeam01,hardeja01,powelno01,powelno01,westbru01
309,hardeja01,leonaka01,powelno01,powelno01,westbru01
310,doncilu01,irvinky01,jonesde02,klebima01,washipj01
311,georgpa01,hardeja01,leonaka01,powelno01,powelno01
312,exumda01,irvinky01,jonesde02,klebima01,washipj01
313,exumda01,jonesde02,klebima01,livelde01,washipj01
314,georgpa01,hardeja01,leonaka01,powelno01,zubaciv01
315,caldwke01,jacksre01,jokicni01,murraja01,portemi01
316,davisan02,dinwisp01,hachiru01,princta02,reaveau01
317,davisan02,dinwisp01,hachiru01,princta02,russeda01
318,braunch01,gordoaa01,holidju01,jacksre01,watsope01
319,braunch01,holidju01,jacksre01,jokicni01,portemi01
320,davisan02,dinwisp01,princta02,reaveau01,russeda01
321,caldwke01,holidju01,jacksre01,jokicni01,portemi01
322,braunch01,gordoaa01,jokicni01,murraja01,portemi01
323,dinwisp01,jamesle01,princta02,reaveau01,vincega01
324,dinwisp01,jamesle01,princta02,russeda01,vincega01
325,dinwisp01,dinwisp01,jamesle01,princta02,vincega01
326,dinwisp01,dinwisp01,hachiru01,princta02,vincega01
327,braunch01,jokicni01,jokicni01,murraja01,portemi01
328,dinwisp01,hachiru01,jamesle01,princta02,vincega01
329,dinwisp01,hachiru01,jamesle01,reaveau01,vincega01
330,caldwke01,jokicni01,jokicni01,murraja01,portemi01
331,dinwisp01,hachiru01,jamesle01,reaveau01,russeda01
332,batumni01,embiijo01,harrito02,hieldbu01,maxeyty01
333,anunoog01,brunsja01,divindo01,hartjo01,robinmi01
334,batumni01,embiijo01,hieldbu01,maxeyty01,oubreke01
335,batumni01,embiijo01,hieldbu01,lowryky01,oubreke01
336,bogdabo02,brunsja01,hartjo01,mcbrimi01,robinmi01
337,batumni01,embiijo01,harrito02,lowryky01,oubreke01
338,batumni01,batumni01,embiijo01,harrito02,lowryky01
339,bogdabo02,divindo01,hartjo01,mcbrimi01,robinmi01
340,batumni01,batumni01,harrito02,hieldbu01,lowryky01
341,batumni01,batumni01,harrito02,hieldbu01,reedpa01
342,batumni01,batumni01,hieldbu01,oubreke01,reedpa01
343,batumni01,batumni01,embiijo01,hieldbu01,oubreke01
344,batumni01,batumni01,embiijo01,harrito02,oubreke01
345,bogdabo02,brunsja01,divindo01,hartjo01,robinmi01
346,batumni01,batumni01,embiijo01,lowryky01,oubreke01
347,bogdabo02,brunsja01,brunsja01,hartjo01,robinmi01
348,anunoog01,brunsja01,brunsja01,hartjo01,robinmi01
349,anunoog01,brunsja01,brunsja01,harteis01,hartjo01
350,allenja01,garlada01,mitchdo01,mobleev01,strusma01
351,banchpa01,harriga01,isaacjo01,suggsja01,wagnefr01
352,allenja01,leverca01,mitchdo01,mobleev01,strusma01
353,allenja01,leverca01,mitchdo01,niangge01,strusma01
354,allenja01,leverca01,mitchdo01,niangge01,okorois01
355,banchpa01,cartewe01,fultzma01,harriga01,wagnefr01
356,banchpa01,cartewe01,fultzma01,harriga01,inglejo01
357,anthoco01,banchpa01,cartewe01,fultzma01,inglejo01
358,garlada01,leverca01,mitchdo01,niangge01,okorois01
359,garlada01,leverca01,mobleev01,niangge01,okorois01
360,anthoco01,banchpa01,cartewe01,inglejo01,wagnefr01
361,leverca01,mitchdo01,mobleev01,niangge01,okorois01
362,allenja01,leverca01,mitchdo01,mobleev01,okorois01
363,allenja01,mitchdo01,mobleev01,okorois01,strusma01
364,anthoco01,banchpa01,banchpa01,inglejo01,wagnefr01
365,anthoco01,banchpa01,banchpa01,isaacjo01,wagnefr01
366,banchpa01,banchpa01,harriga01,isaacjo01,wagnefr01
367,leverca01,mitchdo01,mobleev01,okorois01,strusma01
368,allenja01,leverca01,mitchdo01,okorois01,strusma01
369,banchpa01,banchpa01,cartewe01,harriga01,wagnefr01
370,anthoco01,banchpa01,banchpa01,cartewe01,harriga01
371,allenja01,leverca01,mitchdo01,okorois01,okorois01
372,anthoco01,banchpa01,banchpa01,harriga01,inglejo01
373,anthoco01,banchpa01,banchpa01,inglejo01,wagnemo01
374,garlada01,leverca01,mitchdo01,okorois01,okorois01
375,garlada01,leverca01,mobleev01,okorois01,okorois01
376,allenja01,garlada01,leverca01,okorois01,okorois01
377,banchpa01,banchpa01,banchpa01,inglejo01,wagnemo01
378,banchpa01,banchpa01,banchpa01,suggsja01,wagnemo01
379,allenja01,garlada01,mitchdo01,okorois01,okorois01
380,allenja01,garlada01,mitchdo01,mobleev01,okorois01
381,banchpa01,banchpa01,banchpa01,cartewe01,suggsja01
382,allenja01,garlada01,leverca01,mitchdo01,okorois01
383,allenja01,leverca01,mobleev01,okorois01,okorois01
384,alvarjo01,ingrabr01,joneshe01,murphtr02,valanjo01
385,alvarjo01,ingrabr01,joneshe01,murphtr02,nancela02
386,alvarjo01,joneshe01,marshna01,murphtr02,nancela02
387,alvarjo01,joneshe01,marshna01,mccolcj01,nancela02
388,gilgesh01,haywago01,joeis01,wallaca01,willike04
389,ingrabr01,joneshe01,marshna01,mccolcj01,nancela02
390,alvarjo01,ingrabr01,joneshe01,marshna01,nancela02
391,alvarjo01,ingrabr01,joneshe01,joneshe01,nancela02
392,gilgesh01,gilgesh01,haywago01,joeis01,willike04
393,ingrabr01,joneshe01,joneshe01,mccolcj01,nancela02
394,ingrabr01,joneshe01,joneshe01,mccolcj01,valanjo01
395,alvarjo01,ingrabr01,joneshe01,joneshe01,valanjo01
396,alvarjo01,joneshe01,joneshe01,marshna01,nancela02
397,gilgesh01,gilgesh01,haywago01,joeis01,willija06
398,ingrabr01,joneshe01,joneshe01,nancela02,valanjo01
399,gilgesh01,gilgesh01,haywago01,wallaca01,willija06
400,bogdabo02,brunsja01,divindo01,harteis01,hartjo01
401,batumni01,embiijo01,harrito02,hieldbu01,oubreke01
402,batumni01,embiijo01,embiijo01,maxeyty01,payneca01
403,batumni01,embiijo01,embiijo01,lowryky01,maxeyty01
404,anunoog01,bogdabo02,brunsja01,mcbrimi01,robinmi01
405,batumni01,embiijo01,lowryky01,maxeyty01,reedpa01
406,anunoog01,bogdabo02,brunsja01,harteis01,mcbrimi01
407,batumni01,harrito02,lowryky01,maxeyty01,reedpa01
408,batumni01,harrito02,lowryky01,reedpa01,reedpa01
409,embiijo01,harrito02,lowryky01,reedpa01,reedpa01
410,embiijo01,harrito02,lowryky01,oubreke01,reedpa01
411,anunoog01,bogdabo02,hartjo01,mcbrimi01,robinmi01
412,batumni01,embiijo01,lowryky01,oubreke01,reedpa01
413,harrito02,lowryky01,oubreke01,reedpa01,reedpa01
414,barneha02,elliske01,foxde01,murrake02,sabondo01
415,barneha02,foxde01,lenal01,murrake02,sabondo01
416,barneha02,foxde01,lenal01,lylestr01,sabondo01
417,barneha02,foxde01,lenal01,lylestr01,mitchda01
418,alvarjo01,daniedy01,joneshe01,murphtr02,nancela02
419,alvarjo01,daniedy01,joneshe01,mccolcj01,nancela02
420,foxde01,lenal01,lylestr01,mitchda01,murrake02
421,alvarjo01,daniedy01,marshna01,mccolcj01,nancela02
422,elliske01,foxde01,lylestr01,mitchda01,murrake02
423,alvarjo01,marshna01,mccolcj01,murphtr02,nancela02
424,barneha02,elliske01,foxde01,lylestr01,mitchda01
425,barneha02,elliske01,foxde01,foxde01,lylestr01
426,barneha02,elliske01,foxde01,foxde01,murrake02
427,ingrabr01,marshna01,mccolcj01,murphtr02,valanjo01
428,barneha02,elliske01,foxde01,foxde01,vezenal01
429,alvarjo01,joneshe01,mccolcj01,murphtr02,nancela02
430,alvarjo01,daniedy01,joneshe01,marshna01,nancela02
431,barneha02,foxde01,foxde01,mitchda01,vezenal01
432,foxde01,foxde01,lenal01,mitchda01,vezenal01
433,alvarjo01,daniedy01,ingrabr01,marshna01,nancela02
434,barneha02,foxde01,foxde01,foxde01,vezenal01
435,daniedy01,ingrabr01,ingrabr01,marshna01,nancela02
436,barneha02,foxde01,foxde01,foxde01,murrake02
437,foxde01,foxde01,foxde01,mitchda01,murrake02
438,daniedy01,ingrabr01,ingrabr01,mccolcj01,nancela02
439,daniedy01,ingrabr01,ingrabr01,mccolcj01,valanjo01
440,daniedy01,ingrabr01,ingrabr01,marshna01,valanjo01
441,daniedy01,ingrabr01,ingrabr01,nancela02,valanjo01
442,adebaba01,butleji01,herroty01,jovicni01,martica02
443,butleji01,herroty01,jovicni01,loveke01,martica02
444,herroty01,highsha01,jovicni01,loveke01,martica02
445,herroty01,highsha01,jaqueja01,loveke01,martica02
446,batumni01,harrito02,lowryky01,maxeyty01,oubreke01
447,herroty01,highsha01,jaqueja01,loveke01,wrighde01
448,batumni01,hieldbu01,lowryky01,maxeyty01,reedpa01
449,batumni01,hieldbu01,maxeyty01,oubreke01,reedpa01
450,butleji01,highsha01,jaqueja01,loveke01,wrighde01
451,batumni01,embiijo01,harrito02,maxeyty01,maxeyty01
452,adebaba01,butleji01,highsha01,loveke01,wrighde01
